-2.20000000e+00 5.2295618300000001e+01 4.9645579400000003e+01 5.3689104299999997e+01 5.0404633445842506e+01 5.4186639349201798e+01 4.9040079958931621e+01 5.4644610390391165e+01 8.00000000e-01 1.0027686461086343e+00 
-1.57500000e+00 5.8254905899999997e+01 5.5733777000000003e+01 5.9076580100000001e+01 5.6906475283451535e+01 5.9603436359298492e+01 5.5395822820049290e+01 5.9834045821160075e+01 4.50000000e-01 9.9966331600878222e-01 
-1.12500000e+00 8.0419758000000002e+01 7.7010059499999997e+01 8.2118262500000000e+01 7.8884463882280926e+01 8.1955003375441322e+01 7.6680350040335114e+01 8.2709276704735601e+01 4.50000000e-01 9.9817453411037771e-01 
-6.75000000e-01 9.8178798099999995e+01 9.4184794400000001e+01 1.0038115500000001e+02 9.6198094704043157e+01 1.0015946479294966e+02 9.3720631268401092e+01 1.0114079345170767e+02 4.50000000e-01 9.9730555681120381e-01 
-2.25000000e-01 1.0843721700000000e+02 1.0406974800000000e+02 1.0945778199999999e+02 1.0616809175216100e+02 1.1070618656531902e+02 1.0351545767468335e+02 1.1092514300524391e+02 4.50000000e-01 9.9691849219103379e-01 
2.25000000e-01 1.0843634600000000e+02 1.0406913100000000e+02 1.0945666600000000e+02 1.0616748104975815e+02 1.1070560322209528e+02 1.0351493207525633e+02 1.1092443386871194e+02 4.50000000e-01 9.9691048464500187e-01 
6.75000000e-01 9.8181027900000004e+01 9.4186373099999997e+01 1.0038360900000001e+02 9.6200242197197028e+01 1.0016174903599178e+02 9.3722241184805867e+01 1.0114322636071154e+02 4.50000000e-01 9.9732820724055948e-01 
1.12500000e+00 8.0421967699999996e+01 7.7012807800000004e+01 8.2120685699999996e+01 7.8886655951306508e+01 8.1957319576022954e+01 7.6683043604829805e+01 8.2711716207310616e+01 4.50000000e-01 9.9820196103036452e-01 
1.57500000e+00 5.8253844700000002e+01 5.5732751600000000e+01 5.9075531599999998e+01 5.6905430293382331e+01 5.9602316662023647e+01 5.5394800833452706e+01 5.9832941275259252e+01 4.50000000e-01 9.9964510565045184e-01 
2.20000000e+00 5.2296791100000000e+01 4.9646752499999998e+01 5.3690316099999997e+01 5.0405808892670407e+01 5.4187845513947565e+01 4.9041254540548231e+01 5.4645833186071592e+01 8.00000000e-01 1.0027911345523393e+00 
