Total covariance matrix for HypTTBarDeltaRapidity in combinedUnfolded channel
Bin 1 2 3 4 5 6 7 8
1 0.00673967 0.00375529 0.00344264 0.00375114 0.0041851 0.00416529 0.00368385 0.00410144
2 0.00375529 0.00404548 0.00367036 0.00317368 0.00337968 0.00350714 0.00392754 0.00422462
3 0.00344264 0.00367036 0.00390456 0.00326866 0.00308366 0.00352899 0.00386704 0.00400853
4 0.00375114 0.00317368 0.00326866 0.00349571 0.0032838 0.00325701 0.00327581 0.00336187
5 0.0041851 0.00337968 0.00308366 0.0032838 0.00372242 0.00329698 0.00311568 0.00339587
6 0.00416529 0.00350714 0.00352899 0.00325701 0.00329698 0.00380857 0.00361181 0.00361137
7 0.00368385 0.00392754 0.00386704 0.00327581 0.00311568 0.00361181 0.00452475 0.00467179
8 0.00410144 0.00422462 0.00400853 0.00336187 0.00339587 0.00361137 0.00467179 0.00584682
